algorithm,domain,problem,iteration,model_type,precondition_precision,precondition_recall,precondition_f1,add_effect_precision,add_effect_recall,add_effect_f1,del_effect_precision,del_effect_recall,del_effect_f1,overall_f1
information_gain,blocksworld,p00,5,complete,0.0000,0.0000,0.0000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3056
information_gain,blocksworld,p00,5,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p01,5,complete,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.3333
information_gain,blocksworld,p01,5,safe,0.1250,0.8333,0.2113,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.4038
information_gain,blocksworld,p01,10,complete,0.0000,0.0000,0.0000,0.1667,0.2500,0.2000,0.7500,1.0000,0.7500,0.3167
information_gain,blocksworld,p01,10,safe,0.1500,0.8333,0.2448,0.2500,0.2500,0.2500,0.7500,1.0000,0.7500,0.4149
information_gain,blocksworld,p01,15,complete,0.2500,0.1667,0.2000,0.5833,0.6667,0.6167,0.2500,1.0000,0.2500,0.3556
information_gain,blocksworld,p01,15,safe,0.2250,0.8333,0.3307,0.6667,0.6667,0.6667,0.2500,1.0000,0.2500,0.4158
information_gain,blocksworld,p01,20,complete,0.2500,0.1667,0.2000,0.7500,0.8333,0.7833,0.0000,1.0000,0.0000,0.3278
information_gain,blocksworld,p01,20,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p01,30,complete,0.2500,0.1667,0.2000,0.7500,0.8333,0.7833,0.0000,1.0000,0.0000,0.3278
information_gain,blocksworld,p01,30,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p01,40,complete,0.2500,0.1667,0.2000,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.3444
information_gain,blocksworld,p01,40,safe,0.2556,0.8333,0.3750,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4028
information_gain,blocksworld,p01,50,complete,0.2500,0.1667,0.2000,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.3444
information_gain,blocksworld,p01,50,safe,0.2611,0.8333,0.3826,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4053
information_gain,blocksworld,p02,5,complete,0.0000,0.0000,0.0000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3056
information_gain,blocksworld,p02,5,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p02,10,complete,0.0000,0.0000,0.0000,0.7083,0.8333,0.7595,0.0000,1.0000,0.0000,0.2532
information_gain,blocksworld,p02,10,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p02,15,complete,0.0000,0.0000,0.0000,0.7083,0.8333,0.7595,0.0000,1.0000,0.0000,0.2532
information_gain,blocksworld,p02,15,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p02,20,complete,0.0000,0.0000,0.0000,0.7083,0.8333,0.7595,0.0000,1.0000,0.0000,0.2532
information_gain,blocksworld,p02,20,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p02,30,complete,0.2500,0.1667,0.2000,0.7083,0.8333,0.7595,0.0000,1.0000,0.0000,0.3198
information_gain,blocksworld,p02,30,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p02,40,complete,0.2500,0.1667,0.2000,0.7083,0.8333,0.7595,0.0000,1.0000,0.0000,0.3198
information_gain,blocksworld,p02,40,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p03,5,complete,0.0000,0.0000,0.0000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3056
information_gain,blocksworld,p03,5,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p03,10,complete,0.0000,0.0000,0.0000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3056
information_gain,blocksworld,p03,10,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p03,15,complete,0.0000,0.0000,0.0000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3056
information_gain,blocksworld,p03,15,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p03,20,complete,0.0000,0.0000,0.0000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3056
information_gain,blocksworld,p03,20,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p03,30,complete,0.2500,0.1667,0.2000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3722
information_gain,blocksworld,p03,30,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p03,40,complete,0.2500,0.1667,0.2000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3722
information_gain,blocksworld,p03,40,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p03,50,complete,0.5000,0.4167,0.4500,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4556
information_gain,blocksworld,p03,50,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p04,5,complete,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.3333
information_gain,blocksworld,p04,5,safe,0.1250,0.8333,0.2113,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.4038
information_gain,blocksworld,p04,10,complete,0.0000,0.0000,0.0000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3056
information_gain,blocksworld,p04,10,safe,0.1750,0.8333,0.2826,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3998
information_gain,blocksworld,p04,15,complete,0.5000,0.2083,0.2917,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.3750
information_gain,blocksworld,p04,15,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p04,20,complete,0.7500,0.2917,0.4167,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4167
information_gain,blocksworld,p04,20,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p04,30,complete,0.7500,0.2917,0.4167,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4167
information_gain,blocksworld,p04,30,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p04,40,complete,0.7500,0.2917,0.4167,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4167
information_gain,blocksworld,p04,40,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p05,5,complete,0.0000,0.0000,0.0000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3056
information_gain,blocksworld,p05,5,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p05,10,complete,0.0000,0.0000,0.0000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3056
information_gain,blocksworld,p05,10,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p05,15,complete,0.0000,0.0000,0.0000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3056
information_gain,blocksworld,p05,15,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p05,20,complete,0.0000,0.0000,0.0000,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3056
information_gain,blocksworld,p05,20,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p05,30,complete,0.2500,0.0833,0.1250,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3472
information_gain,blocksworld,p05,30,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p05,40,complete,0.2500,0.0833,0.1250,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.3472
information_gain,blocksworld,p05,40,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p05,50,complete,0.5000,0.3333,0.3750,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4306
information_gain,blocksworld,p05,50,safe,0.2000,0.8333,0.2973,0.4167,0.4167,0.4167,0.5000,1.0000,0.5000,0.4046
information_gain,blocksworld,p06,5,complete,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.3333
information_gain,blocksworld,p06,5,safe,0.1250,0.8333,0.2113,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.4038
information_gain,blocksworld,p06,10,complete,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.3333
information_gain,blocksworld,p06,10,safe,0.1250,0.8333,0.2113,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.4038
information_gain,blocksworld,p07,5,complete,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.3333
information_gain,blocksworld,p07,5,safe,0.1250,0.8333,0.2113,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.4038
information_gain,blocksworld,p07,10,complete,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.3333
information_gain,blocksworld,p07,10,safe,0.1250,0.8333,0.2113,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.4038
information_gain,blocksworld,p07,15,complete,0.2500,0.1667,0.2000,0.5833,0.6667,0.6167,0.2500,1.0000,0.2500,0.3556
information_gain,blocksworld,p07,15,safe,0.2250,0.8333,0.3307,0.6667,0.6667,0.6667,0.2500,1.0000,0.2500,0.4158
information_gain,blocksworld,p07,20,complete,0.2500,0.1667,0.2000,0.7083,0.8333,0.7595,0.0000,1.0000,0.0000,0.3198
information_gain,blocksworld,p07,20,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p07,30,complete,0.2500,0.1667,0.2000,0.7083,0.8333,0.7595,0.0000,1.0000,0.0000,0.3198
information_gain,blocksworld,p07,30,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p07,40,complete,0.2500,0.1667,0.2000,0.7083,0.8333,0.7595,0.0000,1.0000,0.0000,0.3198
information_gain,blocksworld,p07,40,safe,0.2500,0.8333,0.3686,0.8333,0.8333,0.8333,0.0000,1.0000,0.0000,0.4006
information_gain,blocksworld,p08,5,complete,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.3333
information_gain,blocksworld,p08,5,safe,0.1250,0.8333,0.2113,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.4038
information_gain,blocksworld,p08,10,complete,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.3333
information_gain,blocksworld,p08,10,safe,0.1250,0.8333,0.2113,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.4038
information_gain,blocksworld,p08,15,complete,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.3333
information_gain,blocksworld,p08,15,safe,0.1250,0.8333,0.2113,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.4038
information_gain,blocksworld,p08,20,complete,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.3333
information_gain,blocksworld,p08,20,safe,0.1250,0.8333,0.2113,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.4038
